place_id,name,latitude,longitude,categories,address_line1,address_line2,city,state,postcode,country,formatted_address,website,phone,distance_meters
513be9d89cdec557c059a6564edbd08c3d40f00103f901d2f172e10200000092030b53756d6d6572204d6f6f6e,Summer Moon,29.5500619,-95.0917122,"commercial, commercial.food_and_drink, commercial.food_and_drink.coffee_and_tea, internet_access",Summer Moon,"1846 East NASA Parkway, Houston, TX 77058, United States of America",Houston,Texas,77058,United States,"Summer Moon, 1846 East NASA Parkway, Houston, TX 77058, United States of America",https://summermooncoffee.com,,39677.0
51308fa108cec757c0597b96d80418863d40f00103f901e123ba4f0200000092031d43617361206465204d6f6e746563726973746f20436967617220426172,Casa de Montecristo Cigar Bar,29.523804,-95.1219503,"commercial, commercial.smoking",Casa de Montecristo Cigar Bar,"850 Kobayashi Road South, Webster, TX 77598, United States of America",Webster,Texas,77598,United States,"Casa de Montecristo Cigar Bar, 850 Kobayashi Road South, Webster, TX 77598, United States of America",https://www.seriouscigars.com/webster/,,39981.0
51e4b44c2baac657c059b6cf0c315e8b3d40f00103f9010dd39315010000009203134d75726465722042792043686f636f6c617465,Murder By Chocolate,29.544406,-95.1041363,"commercial, commercial.food_and_drink, commercial.food_and_drink.bakery",Murder By Chocolate,"Egret Bay Boulevard, Webster, TX 77058, United States of America",Webster,Texas,77058,United States,"Murder By Chocolate, Egret Bay Boulevard, Webster, TX 77058, United States of America",,,40129.0
513011ca5672c657c059c6b5f2e1598c3d40f00103f901411841b00200000092031448696768205469646520536d6f6b652053686f70,High Tide Smoke Shop,29.5482465,-95.1007287,"commercial, commercial.smoking",High Tide Smoke Shop,"1303 East NASA Parkway, Houston, TX 77058, United States of America",Houston,Texas,77058,United States,"High Tide Smoke Shop, 1303 East NASA Parkway, Houston, TX 77058, United States of America",,,40173.0
51bda9771287c657c059661b53104d8c3d40f00102f901aafaad2d0000000092030957616c677265656e73,Walgreens,29.5480509,-95.10199414907306,"building, building.commercial, commercial, commercial.chemist",Walgreens,"1301 East NASA Parkway, Houston, TX 77058, United States of America",Houston,Texas,77058,United States,"Walgreens, 1301 East NASA Parkway, Houston, TX 77058, United States of America",https://www.walgreens.com/locator/walgreens-1301+nasa+pkwy-houston-tx-77058/id=11854,,40224.0
51f1214d614ac657c059fefcbdbe318d3d40f00103f9013ccfa61401000000920315537061636554726164657220476966742053686f70,SpaceTrader Gift Shop,29.5515403,-95.0982898,"commercial, commercial.gift_and_souvenir",SpaceTrader Gift Shop,"1601 Saturn Lane, Houston, TX 77058, United States of America",Houston,Texas,77058,United States,"SpaceTrader Gift Shop, 1601 Saturn Lane, Houston, TX 77058, United States of America",,,40251.0
51f2947abb4ac657c059571f4c8f5c8d3d40f00103f9013dcfa6140100000092030c476966742053746174696f6e,Gift Station,29.5521936,-95.0983113,"commercial, commercial.gift_and_souvenir",Gift Station,"1601 Saturn Lane, Houston, TX 77058, United States of America",Houston,Texas,77058,United States,"Gift Station, 1601 Saturn Lane, Houston, TX 77058, United States of America",,,40302.0
515473147bc3c657c059c6c64268a98b3d40f00103f901dfd7331f0100000092030441542654,AT&T,29.5455537,-95.1056812,"commercial, commercial.elektronics",AT&T,"Egret Bay Boulevard, Webster, TX 77058, United States of America",Webster,Texas,77058,United States,"AT&T, Egret Bay Boulevard, Webster, TX 77058, United States of America",,,40326.0
51d80ccbfa28c857c05960aceee027863d40f00103f90174e62de40100000092030d4d61747472657373204669726d,Mattress Firm,29.524046,-95.1275012,"commercial, commercial.furniture_and_interior, commercial.furniture_and_interior.bed",Mattress Firm,"20798 Gulf Freeway, Webster, TX 77598, United States of America",Webster,Texas,77598,United States,"Mattress Firm, 20798 Gulf Freeway, Webster, TX 77598, United States of America",https://www.mattressfirm.com/en-us/stores/tx/webster/001005/,,40423.0
519885764e33c857c05999e9d2580c863d40f00103f9016fe62de40100000092030c53706f727420446976657273,Sport Divers,29.5236259,-95.1281315,"commercial, commercial.outdoor_and_sport, commercial.outdoor_and_sport.diving",Sport Divers,"20798 Gulf Freeway, Webster, TX 77598, United States of America",Webster,Texas,77598,United States,"Sport Divers, 20798 Gulf Freeway, Webster, TX 77598, United States of America",,,40443.0
512a95f084dec657c059e6734c1bc48b3d40f00103f901e905d4d102000000920310437269636b657420576972656c657373,Cricket Wireless,29.5459611,-95.1073315,"commercial, commercial.elektronics",Cricket Wireless,"989 East NASA Parkway, Webster, TX 77598, United States of America",Webster,Texas,77598,United States,"Cricket Wireless, 989 East NASA Parkway, Webster, TX 77598, United States of America",,,40475.0
51c3af58c345c857c05958e4df5bfd853d40f00103f9016de62de401000000920308476f6f6477696c6c,Goodwill,29.5233972,-95.129258,commercial,Goodwill,"20810 Gulf Freeway, Webster, TX 77598, United States of America",Webster,Texas,77598,United States,"Goodwill, 20810 Gulf Freeway, Webster, TX 77598, United States of America",,,40515.0
513b611d2249c857c05999e9d2580c863d40f00103f9016be62de40100000092031f526f6265727427732043617270657420616e642046696e6520466c6f6f7273,Robert's Carpet and Fine Floors,29.5236259,-95.1294637,"commercial, commercial.furniture_and_interior, commercial.furniture_and_interior.carpet",Robert's Carpet and Fine Floors,"20810 Gulf Freeway, Webster, TX 77598, United States of America",Webster,Texas,77598,United States,"Robert's Carpet and Fine Floors, 20810 Gulf Freeway, Webster, TX 77598, United States of America",,,40546.0
5190cb6e1c27c857c059639d194cc3863d40f00102f9015e8ff01500000000920314436176656e646572277320426f6f742043697479,Cavender's Boot City,29.5264175,-95.12738715,"building, building.commercial, commercial, commercial.clothing, commercial.clothing.clothes",Cavender's Boot City,"20835 Gulf Freeway, Webster, TX 77598, United States of America",Webster,Texas,77598,United States,"Cavender's Boot City, 20835 Gulf Freeway, Webster, TX 77598, United States of America",,,40546.0
51156fbfd76bc757c059349fa9cbce893d40f00103f9010dc805470100000092031c417373697374616e6365204c6561677565206f662074686520426179,Assistance League of the Bay,29.5383117,-95.1159572,commercial,Assistance League of the Bay,"100 NASA Parkway, Webster, TX 77598, United States of America",Webster,Texas,77598,United States,"Assistance League of the Bay, 100 NASA Parkway, Webster, TX 77598, United States of America",,,40546.0
51f8a6446df6c657c059032173b4aa8b3d40f00103f901195cf7f202000000920312456c65637472696669656420546174746f6f,Electrified Tattoo,29.5455735,-95.1087907,commercial,Electrified Tattoo,"803 East NASA Parkway, Webster, TX 77058, United States of America",Webster,Texas,77058,United States,"Electrified Tattoo, 803 East NASA Parkway, Webster, TX 77058, United States of America",,,40551.0
518cde043aeec657c059be3a41a0e98b3d40f00103f901055a5b0a0100000092031048616c6620507269636520426f6f6b73,Half Price Books,29.5465336,-95.1082902,"commercial, commercial.books",Half Price Books,"961 NASA Parkway, Houston, TX 77058, United States of America",Houston,Texas,77058,United States,"Half Price Books, 961 NASA Parkway, Houston, TX 77058, United States of America",,,40586.0
51ca187a1f22c757c0593f5d15f71f8b3d40f00103f9010d10739902000000920309447564652053746f70,Dude Stop,29.5434565,-95.1114577,"commercial, commercial.convenience",Dude Stop,"Sarah Deel Drive, Webster, TX 77058, United States of America",Webster,Texas,77058,United States,"Dude Stop, Sarah Deel Drive, Webster, TX 77058, United States of America",,,40589.0
515d633cefebc657c059ec088d0af78b3d40f00103f901e6d7331f0100000092030c4f6666696365204465706f74,Office Depot,29.5467383,-95.1081503,"commercial, commercial.stationery",Office Depot,"961 NASA Parkway, Houston, TX 77058, United States of America",Houston,Texas,77058,United States,"Office Depot, 961 NASA Parkway, Houston, TX 77058, United States of America",https://www.officedepot.com/storelocator/tx/houston/office-depot-2796,,40591.0
5159643bdf4fc857c0593d7366542a863d40f00103f90167e62de40100000092031c4170706c69616e6365204c69717569646174696f6e204f75746c6574,Appliance Liquidation Outlet,29.5240834,-95.129875,"commercial, commercial.elektronics",Appliance Liquidation Outlet,"20810 Gulf Freeway, Webster, TX 77598, United States of America",Webster,Texas,77598,United States,"Appliance Liquidation Outlet, 20810 Gulf Freeway, Webster, TX 77598, United States of America",,,40608.0
